,adopted_time,Rur.White,Sub.Blacker,Sub.Richer,BigCities,SubRur.Poorer,MidCities
0,2020-05-25 12:00:00-04:00,1.1957697921693508e-08,1.830701199096209e-07,7.977908055686675e-08,3.2117676884179945e-07,,7.781517523222655e-08
1,2020-05-25 18:00:00-04:00,1.1957697921693508e-08,2.615287427280299e-07,7.977908055686675e-08,5.352946147363324e-07,1.568968021638956e-08,1.4006731541800778e-07
2,2020-05-26 00:00:00-04:00,1.1957697921693508e-08,2.615287427280299e-07,9.972385069608344e-08,7.137261529817766e-07,1.568968021638956e-08,1.7119338551089841e-07
3,2020-05-26 06:00:00-04:00,4.783079168677403e-08,6.538218568200746e-07,3.590058625059004e-07,2.069805843647152e-06,1.2551744173111647e-07,5.135801565326953e-07
4,2020-05-26 12:00:00-04:00,6.33757989849756e-07,3.792166769556433e-06,1.8947531632255855e-06,1.002785244939396e-05,1.3650021788258916e-06,3.2059852195677337e-06
5,2020-05-26 18:00:00-04:00,1.2316428859344313e-06,6.4336070711095345e-06,3.5701138549197876e-06,1.677256459507175e-05,2.1181068292125906e-06,5.6493817218596475e-06
6,2020-05-27 00:00:00-04:00,1.554500729820156e-06,8.107391024568926e-06,4.3280151202100215e-06,2.1768647665944187e-05,2.667245636786225e-06,7.2056852265041784e-06
7,2020-05-27 06:00:00-04:00,2.116512532139751e-06,1.0670372703303618e-05,5.803928110512057e-06,2.854904611927106e-05,3.6870748508515462e-06,8.964308186752498e-06
8,2020-05-27 12:00:00-04:00,2.8818051991281358e-06,1.323335438203831e-05,7.239951560535658e-06,3.6150229648526986e-05,4.769662785782426e-06,1.1236511303533515e-05
9,2020-05-27 18:00:00-04:00,3.993871105845632e-06,1.629324067195626e-05,9.593434436963228e-06,4.446513933076468e-05,6.511217289801667e-06,1.4286866172636794e-05
10,2020-05-28 00:00:00-04:00,4.424348231026598e-06,1.7940871751142848e-05,1.0830010185594662e-05,5.024632116991707e-05,7.452598102785041e-06,1.5983236992699332e-05
11,2020-05-28 06:00:00-04:00,5.285302481388531e-06,2.1445356903698448e-05,1.2365757486314348e-05,5.7669073160927545e-05,8.660703479447036e-06,1.8208751004341014e-05
12,2020-05-28 12:00:00-04:00,7.078957169642557e-06,2.654516738689503e-05,1.5935871341234136e-05,7.055183022224861e-05,1.135932847666604e-05,2.3951510936479332e-05
13,2020-05-28 18:00:00-04:00,8.681288691149488e-06,3.120037900745396e-05,1.9246703184344105e-05,8.068674159458985e-05,1.349312498609502e-05,2.8355849854623356e-05
14,2020-05-29 00:00:00-04:00,9.566158337354807e-06,3.3318761823551e-05,2.1041732496873606e-05,8.703890435612765e-05,1.4732609723189796e-05,3.0908187602240386e-05
15,2020-05-29 06:00:00-04:00,1.0929335900427868e-05,3.773859757565471e-05,2.355477353441491e-05,9.631734434489074e-05,1.641140550634348e-05,3.43476183475048e-05
16,2020-05-29 12:00:00-04:00,1.2436005838561249e-05,4.255072644185046e-05,2.7304390320587647e-05,0.0001108416715580699,1.84824432949069e-05,3.960792419320331e-05
17,2020-05-29 18:00:00-04:00,1.414595664136342e-05,4.8304358781867114e-05,3.085455940536822e-05,0.00012529462615595087,2.0380894601090036e-05,4.451028023283359e-05
18,2020-05-30 00:00:00-04:00,1.4743841537448095e-05,5.023967147805453e-05,3.241025147622712e-05,0.00013107580799510328,2.097710244931284e-05,4.6580163894010815e-05
19,2020-05-30 06:00:00-04:00,1.5616753485731722e-05,5.3404169265063695e-05,3.426511509917427e-05,0.00013785620644843016,2.205969038424372e-05,4.84321650645378e-05
20,2020-05-30 12:00:00-04:00,1.7362577382298975e-05,5.8503979748260276e-05,3.765572602284111e-05,0.00015445033950525644,2.4303314655187428e-05,5.331895806912163e-05
21,2020-05-30 18:00:00-04:00,1.9275809049769935e-05,6.446683508245936e-05,4.204357545346878e-05,0.00017864565609133868,2.7158836454570328e-05,5.985543278862866e-05
22,2020-05-31 00:00:00-04:00,2.0316128768957272e-05,6.747441562383171e-05,4.483584327295912e-05,0.0001910644911532216,2.8994529039887904e-05,6.380844369042577e-05
23,2020-05-31 06:00:00-04:00,2.1511898561126623e-05,7.223423874148185e-05,4.7867448334120054e-05,0.0002006284216031774,3.059487642195964e-05,6.688992462962195e-05
24,2020-05-31 12:00:00-04:00,2.3221849363928793e-05,7.832785844704495e-05,5.2315132075165376e-05,0.00022243275557677067,3.310522525658197e-05,7.365984487482565e-05
25,2020-05-31 18:00:00-04:00,2.4860053979200805e-05,8.355843330160554e-05,5.686253966690678e-05,0.0002424884604755586,3.586660897466653e-05,7.980724371817156e-05
26,2020-06-01 00:00:00-04:00,2.5613388948267494e-05,8.546759312352016e-05,5.9056464382220617e-05,0.0002494472904671309,3.7106093711761306e-05,8.349568302417909e-05
27,2020-06-01 06:00:00-04:00,2.6761327948750072e-05,8.962590013289583e-05,6.148972633920506e-05,0.00025890416199413947,3.881626885534777e-05,8.665497913860749e-05
28,2020-06-01 12:00:00-04:00,2.8483236449473938e-05,9.454264049618279e-05,6.579779668927586e-05,0.00027721123781812205,4.099713440542592e-05,9.203978926467756e-05
29,2020-06-01 18:00:00-04:00,3.080302984628248e-05,0.00010197005678965885,7.239951560535658e-05,0.0003027269477872205,4.474696797714302e-05,9.9883558928086e-05
30,2020-06-02 00:00:00-04:00,3.234557287818094e-05,0.00010649450403885376,7.638846963319992e-05,0.0003249595174526029,4.65826605624606e-05,0.00010596870563124611
31,2020-06-02 06:00:00-04:00,3.53589127544477e-05,0.00011881250782134396,8.382786889512775e-05,0.00034922620665398327,4.984611404746963e-05,0.00011362571887409721
32,2020-06-02 12:00:00-04:00,3.747542528658746e-05,0.00012676298160027607,8.897361959104566e-05,0.0003681042634003513,5.310956753247866e-05,0.00012005325234827912
33,2020-06-02 18:00:00-04:00,3.800156399514197e-05,0.0001288029057935547,9.038969827093004e-05,0.0003740995630853982,5.384698250264897e-05,0.00012184300137862033
